,Beer,Website
67,Five Boroughs Summer Ale,https://www.beermenus.com/beers/255111-five-boroughs-summer-ale
68,Founders Centennial IPA,https://www.beermenus.com/beers/4375-founders-centennial-ipa
69,Grey Sail Flagship Ale,https://www.beermenus.com/beers/15206-grey-sail-flagship-ale
71,Interboro Bushburg Pils,https://www.beermenus.com/beers/207769-interboro-bushburg-pils
72,Jack’s Abby Shipping Out Of Boston,https://www.beermenus.com/beers/269028-jack-s-abby-shipping-out-of-boston
73,Allagash White,https://www.beermenus.com/beers/859-allagash-white
74,Braven Bushwick Pilsner,https://www.beermenus.com/beers/93227-braven-bushwick-pilsner
75,Breckenridge Vanilla Porter Nitro,https://www.beermenus.com/beers/31865-breckenridge-vanilla-porter-nitro
76,Cigar City Maduro Brown Ale,https://www.beermenus.com/beers/5406-cigar-city-maduro-brown-ale
77,Downeast Cider Original,https://www.beermenus.com/beers/37466-downeast-cider-original
78,Knee Deep Simtra Triple IPA,https://www.beermenus.com/beers/15242-knee-deep-simtra-triple-ipa
79,Montauk Driftwood Ale,https://www.beermenus.com/beers/24715-montauk-driftwood-ale
80,Ommegang Grains of Truth Ale,https://www.beermenus.com/beers/113499-ommegang-grains-of-truth-ale
81,Oskar Blues G'Knight,https://www.beermenus.com/beers/9701-oskar-blues-g-knight
82,Otter Creek Couch Surfer,https://www.beermenus.com/beers/95732-otter-creek-couch-surfer
83,Pretty Things Baby Tree,https://www.beermenus.com/beers/6125-pretty-things-baby-tree
84,Rogue American Amber,https://www.beermenus.com/beers/2299-rogue-american-amber
85,Rushing Duck Baby Elephant IPA,https://www.beermenus.com/beers/47161-rushing-duck-baby-elephant-ipa
86,SingleCut Jån Alpine White Lager,https://www.beermenus.com/beers/24928-singlecut-j-n-alpine-white-lager
87,Speakeasy Butchertown India Black Ale,https://www.beermenus.com/beers/96850-speakeasy-butchertown-india-black-ale
88,Two Roads Roadsmary's Other Baby,https://www.beermenus.com/beers/105288-two-roads-roadsmary-s-other-baby
89,Ace Pineapple Cider,https://www.beermenus.com/beers/48570-ace-pineapple-cider
90,Bell's Hopslam 2019,https://www.beermenus.com/beers/298181-bell-s-hopslam-2019
91,BrewDog Punk IPA,https://www.beermenus.com/beers/5259-brewdog-punk-ipa
92,Catskill Pale Ale With Idaho 7,https://www.beermenus.com/beers/327561-catskill-pale-ale-with-idaho-7
93,Finback Dimensional Transort,https://www.beermenus.com/beers/366386-finback-dimensional-transort
94,Five Boroughs Gridlock Hazy IPA,https://www.beermenus.com/beers/340830-five-boroughs-gridlock-hazy-ipa
95,Flying Dog Horn Dog Barley Wine,https://www.beermenus.com/beers/3279-flying-dog-horn-dog-barley-wine
96,Founders KBS (2019),https://www.beermenus.com/beers/307485-founders-kbs-2019
97,Maine Beer Co Lunch,https://www.beermenus.com/beers/208148-maine-beer-co-lunch
98,Montauk Watermelon Session IPA,https://www.beermenus.com/beers/151999-montauk-watermelon-session-ipa
99,21st Amendment Back in Black,https://www.beermenus.com/beers/5815-21st-amendment-back-in-black
100,Bronx Pale Ale,https://www.beermenus.com/beers/11282-bronx-pale-ale
101,Captain Lawrence Liquid Gold,https://www.beermenus.com/beers/1789-captain-lawrence-liquid-gold
102,Dos Equis Especial,https://www.beermenus.com/beers/26178-dos-equis-especial
103,Ithaca Flower Power IPA,https://www.beermenus.com/beers/41166-ithaca-flower-power-ipa
104,Keegan Mother's Milk,https://www.beermenus.com/beers/38466-keegan-mother-s-milk
105,Modelo Negra,https://www.beermenus.com/beers/174-modelo-negra
