Beer,Rating
Lawson's Finest Sip of Sunshine,4.3
Lawson's Finest Super Session,4.4
Left Hand Introvert Session IPA,4.01
Left Hand Milk Stout Nitro,3.51
Leinenkugel's Summer Shandy,4.28
Lexington Kentucky Bourbon Barrel Ale,4.21
LIC Beer Project Sin And Soul,4
Lindeman's Framboise,4.21
Lindemans Kriek,4.29
Lindemans Peche Lambic,2.91
Lindners's Hazy N Juicy,4.14
Lion's Head Deluxe Pilsner,3.33
Lionshead IPA,3.59
Lock City Double Noggin Knocker,4.34
Long Trail Ale,3.41
Loose Cannon,3.59
Lord Hobo Angelica Hazy IPA,3.94
Lord Hobo Freebird,3.15
Lord Hobo Glorious,3.03
Lost Rhino Final Glide,3.07
Lucky Buddha,4.13
Maine Beer Co Lunch,3.58
Maine Beer Co. Peeper,3.79
Maine Thank You,4.06
Maine Woods and Waters,3.5
McKenzie's Black Cherry,3.64
McKenzie's Lazy Lemon Hard Cider,4.36
Menabrea Bionda,3.98
Meridian Hive Haven,4.32
Michelob Ultra,3.73
Midnight Sun Hop Dog Double Wheat IPA,4.21
Mikkeler SD Passion Pool,4.2
Mikkeller NYC Bumpin' This Thread,3.7
Mikkeller NYC Chop Shop,4.35
Mikkeller NYC Mikkellerita,3.63
Mikkeller NYC X Schaller & Weber Butcher Beer,3.9
Miles Davis' Bitches Brew,3.49
Miller High Life,2.36
Miller Lite,2.35
Mobtown Flight Test Simcoe V. Sabro,3.42
Modelo Especial,3.5
Modelo Negra,4.08
Modern Times Laser Rain,4.17
Montauk Arrowhead Irish Red Ale,3.55
Montauk Driftwood Ale,4.12
Montauk Pilsner,3.8
Montauk Summer Ale,4.29
Montauk Watermelon Session IPA,3.55
Montauk Wave Chaser,4.12
Montauk Wave Chaser India Pale Ale,4.26
Moretti La Rossa,4.29
Nap Time - Divination,3.28
Nap Time - Imaginary Views - Mango,4.24
Nap Time - Imaginary Views - Strawberry,4.05
Narragansett Del's Shandy,3.32
Narragansett Lager,3.39
Nebraska Brunette Nut Brown,4.37
Negra Modelo,3.52
New Belgium Fat Tire,3.44
New Belgium Fat Tire Amber Ale,3.68
New Belgium Voodoo Ranger IPA,3.34
New Day Meadery Re-Thinker,4.03
New Holland Dragon's Milk,3.64
Night Shift Brewing Buzz,4.43
Night Shift Hoot Hard Seltzer Raspberry Lime,3.59
Night Shift Lime Lite,3.85
Night Shift Nite Lite,3.88
NITRO,3.88
Nomikai Sparkling Rosé,3.51
Non Sequitur All Together,3.7
Ocelot Collision,3.03
Ocelot Thought Control,4.02
Off Color Troublesome,3.87
Oh My Goodness,2.87
OLD OX FESTIVALE CHERRY BLOSSOM,3.7
Old Speckled Hen Nitro,3.52
Ommegang Abbey Ale,3.51
Ommegang Grains of Truth Ale,3.74
Ommegang Hennepin,4.11
Ommegang Witte Wheat,3.52
Omnipollo Aon Bourbon Barrel Aged,4.06
Organic Chocolate Stout,4
Original Sin Dry Rose Cider,4.03
Original Sin Pear Cider,3.58
Orval Trappist,4.04
Oskar Blues Barrel Aged Ten Fidy,3.86
Oskar Blues Dale's Pale Ale,3.88
Oskar Blues Death By Coconut,3.8
Oskar Blues G'Knight,3.33
Oskar Blues Mama's Little Yella Pils,3.51
Oskar Blues Ten Fidy,3.92
Other Half All Citra Everything,4
Other Half DDH Forever Ever,4.2
Other Half Forever Ever,4.3
Other Half Green City,4.27
Other Half Oh...,4.2
Other Half Superfun!,4.1
Other Half Triple Citra Daydream,4.36
Otter Creek Couch Surfer,3.46
Oxbow Farmhouse Pale Ale,3.42
Oxbow Luppolo,3.36
Pabst Blue Ribbon (PBR),3.55
Pabst National Bohemian,2.96
Paulaner Hefe-Weissbier Naturtr�b,4.05
Paulaner Hefe-Weizen,3.01
Peak Organic Citrus Saison,3.53
Peak Organic Happy Hour,3.49
Peak Organic Highball Ginger Mule,3.76
Peak Organic Highball Grapefruit Paloma,3.42
Peak Organic IPA,3.38
Peekskill Simple Sour,3.51
Perennial Coffee Stout Varient,4.07
Perennial Purple Owen,3.83
Peroni Nastro Azzuro,3.41
Perpetual IPA,3.51
Pipeworks Pit Of Cherries,4.05
Point Nude Beach,3.63
Port City Essential Pale Ale,3.19
Port City Optimal Wit,3.18
Porterhouse Yippy IPA,3.54
Pranqster,3.67
Pretty Things Baby Tree,3.58
Pretty Things Jack D'Or,4.39
Public Access Suspended Disbelief,3.91
Purple Haze,3.5
Radeberger Pilsner,4.23
Radiant Pig Junior IPA,3.8
Radiant Pig Save the Robots IPA,4.14
Red Stripe,3.51
RedHook Long Hammer,3.18
Right Proper Li'l Wit,4.22
Rochefort 10,3.13
Rogue American Amber,3.6
Rogue Dead Guy,3.71
Rogue Sriracha Stout,3.9
"Rogue Voodoo Doughnut Pretzel, Raspberry & Chocolate Ale",4.33
Root + Branch Compulsory Miseducation II,3.35
Ross Navesink IPA,3.36
Rothaus Tannenz�pfle,4.32
R�b�us,3.59
Rumors And Spells,3.53
Rushing Duck Baby Elephant IPA,3.38
Saison Dupont Vielle Provision,3.52
Sam Adams Boston Lager,4.16
Sam Adams Sam '76,3.23
Sam Adams Winter Lager,3.6
Samuel Adams Latitude 48 IPA,3.53
Samuel Adams Noble Pils,3.59
Samuel Adams Old Fezziwig Ale,3.54
Samuel Smith Oatmeal Stout,3.67
Samuel Smith's Organic Chocolate Stout,3.18
Samuel Smith's Organic Nut Brown Ale,3.81
Schilling Combover,4.09
Schneider Aventinus,4.35
Schneider Weisse Original,3.72
Schofferhofer Grapefruit Hefeweizen,3.46
Shock Top Belgian White,3.85
Short Throw Low Brow Nobility,2.94
Sierra Nevada 40 Years Hoppy Anniversary Ale,3.95
Sierra Nevada Hazy Little Thing,4.06
Sierra Nevada Pale Ale,4.15
Sierra Nevada Porter,3.32
Sierra Nevada Torpedo,3.48
Silver Branch Coffee Chronicle,3.6
Silver Branch Deus Ex Machina,3.27
Silver Branch Doomsday Chronicle,3.38
Silver Branch Glass Castle,3.04
Silver Branch King's Ransom,4.08
Silver Branch Squeegee Master,3.68
SingleCut 18 Watt,3.56
Singlecut All In All Is All Maibock,4.1
SingleCut Eric More Cowbell! Nitro,3.9
SingleCut Flatter Flatter Flatter Flatter Flatter Flatter Flatter 2x DH IPA,4.27
SingleCut Flatter x7,4.1
SingleCut Jån Alpine White Lager,3.9
SingleCut Mastery Knows No Shortcut,4.2
SingleCut Plaintop,4.4
SingleCut Weird & Gilly,4
Sixpoint Bengali,3.9
Sixpoint Double Oaked Master Blend: Jameson Edition,3.63
Sixpoint Jammer,3.67
Sixpoint Sweet Action,3.92
Sixpoint The Crisp Pilz,3.95
Sloop Cloud Jumper,3.83
Sloop Disco Blastoff,3.39
Sloop Forever Rotating IPA,3.5
Sloop Hospitality Relief Bomb,4.01
Sloop Juice Bomb,4.2
Sloop Pilsner,3.72
Sloop Super Soft,4.03
Sly Fox Helles Golden Lager,4.17
Solace Lucy Juicy,4.12
Southern Tier Mango Crush Session Sour,4.39
Speakeasy Butchertown India Black Ale,3.77
Spotted Cow,3.74
Springdale Razzurected,3.84
Stella Artois,3.46
Stiegl Radler,3.09
Stillwater Mono Pilsener,4.34
Stout,3.6
SweetWater 420 Extra Pale Ale,3.34
Swiftwater Coffee Stout,3.88
Taiwan Beer,3.58
Talea Brightside,4.21
TALEA Secret Password,3.87
Tecate,3.89
"THE HUNTRESS ""Amber Lager""",3.26
"THE HUNTRESS ""American Pale Ale""",3.54
"THE HUNTRESS ""American Stout""",4.16
"THE HUNTRESS ""Belgian Tripel""",3.48
"The Huntress ""Brut Pilsner""",3.73
"THE HUNTRESS ""Double Witbier""",3.5
"THE HUNTRESS ""Farmhouse Saison""",3.64
"THE HUNTRESS ""India Pale Ale""",3.62
"THE HUNTRESS ""Irish Red Ale""",3.34
"The Huntress ""Notorious LIC""",3.76
"The Huntress ""Strawberry Sour""",3.5
The Huntress “Rose Cider”,3.38
Thin Man Diplomatic Immunity,3.39
Thin Man Petit Amour,3.59
Third Rail Field 2 Farmhouse Ale,4.07
Threes Bad Faith,3.43
Threes Eternal Return: Rosé,4.04
Threes Logical Conclusion,3.6
Threes Vliet Pilsner,3.85
Torch & Crown DFM2,3.79
Torch & Crown Habitual Line Stepper,3.79
Transmitter G3 Golden Ale,4.37
Transmitter L1 Pilsner,3.35
Transmitter L2 Vienna Lager,4.1
Transmitter PH7 Nectarine Sour,3.8
Trinity TableB(ear),3.1
Triple Crossing Falcon Smash,3.17
Troegs Mad Elf,3.68
Troeg's Perpetual IPA,4.13
True Respite Tart Cherry,4.07
Truly Pineapple,4.3
Truly Spiked and Sparkling Variety Citrus,3.55
Two Brothers Prairie Path,4.11
Two Roads Igor's Dream,3.26
Two Roads Roadsmary's Other Baby,3.51
Unibroue La Fin Du Monde,4.3
Unibroue Maudite,3.8
Unibroue Trois Pistoles,3.75
Union Craft Divine,3.31
Vanish Brewing Ghost Fleet,3.3
Victory Golden Monkey,3.07
Victory HopDevil,3.13
Victory Prima Pils,3.72
Victory Sour Monkey,3.82
Vitus,3.41
Weihenstephaner Hefeweissbier,3.59
Weinhenstephaner Hefeweissbier,3.61
West Kill Sunshine Valley,3.73
Westbrook Gose,3.08
Westbrook Mexican Cake,3.75
Westmalle Tripel,3.17
White Claw Black Cherry,0
White Claw Hard Seltzer Black Cherry,0
White Claw Hard Seltzer Variety Pack,0
White Claw Mango,0
White Claw Natural Lime,0
White Claw Raspberry,0
White Claw Ruby Grapefruit,0
Wolffer Dry Rosé Cider,3.96
Yuengling Hershey Chocolate Porter,3.98
Yuengling Lager,4.42
Yuengling Traditional Lager,3.76
